DOI,file_name,Study,Question,Column,Answer,OG_answer,Accurate?,Comments
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,What test ph of the media was used in the exposure? Provide the name of the ph or state Not Reported.,Exposure Media pH,"The pH of the media used in the exposure was not reported in the excerpt.[next_chunk]The pH of the media used in the exposure was not reported in the excerpt.[next_chunk]The pH of the media used in the exposure was not reported in the excerpt.[next_chunk]NULL[next_chunk]As per the manuscript, the test pH of the media used in the exposure was not reported.",,Yes,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,What test salinity was used in the exposure? Provide the salinity or state Not Reported.,Exposure Media Salinity,The manuscript does not report the salinity used in the exposure.[next_chunk]The manuscript does not report the salinity used in the exposure test.[next_chunk]Not Reported.[next_chunk]NULL[next_chunk]Not Reported.,,Yes,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,"What is the species focused on in the study? Acceptable answers are the scientific species name or """"Not reported"""".",Species,Rainbow trout (Oncorhynchus mykiss)[next_chunk]Not reported.[next_chunk]Rainbow trout (Oncorhynchus mykiss)[next_chunk]NULL[next_chunk]Not reported.,Oncorhynchus mykiss,Yes,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,What test tempurature was used pu the exposure? Provide the tempurature or state Not Reported.,Exposure Media Tempurature,The temperature used for the exposure test was not reported in the excerpt.[next_chunk]Not Reported.[next_chunk]Not Reported.[next_chunk]NULL[next_chunk]The test temperature used for the exposure was not reported in the manuscript.,,Yes,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,What test duration was used at the exposure? Provide the duration or state Not Reported.,Exposure Duration,"The duration of the exposure to polystyrene microplastics (PS MPs) in the study was reported as 4 weeks, but the test duration for other aspects of the study, such as the ussing chamber experiments, was not reported[next_chunk]The test duration at the exposure was not reported in the excerpt.[next_chunk]The test duration used at the exposure was reported as 90 days.[next_chunk]NULL[next_chunk]Not Reported.",28,Yes,Also found 90 days though. 
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,Was the exposure chronic or acute? Acceptable answers are Chronic or Acute.,Acute/Chronic,"Chronic.[next_chunk]Chronic.[next_chunk]The manuscript does not provide a clear answer to whether the exposure was chronic or acute.[next_chunk]NULL[next_chunk]The exposure in our study was chronic, as the microplastic particles were continuously present in the aquatic environment for a period of 30 days.",Chronic,Yes,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,How many treatment groups or doses were used for a given condition? Provide the number of groups.,Treatment Groups,"Four treatment groups were used for the condition of exposure to polystyrene microplastics via feed for a period of 4 weeks.[next_chunk]Four exposure treatment groups were used in the study.[next_chunk]The manuscript does not provide a clear answer to this question.[next_chunk]NULL[next_chunk]The number of treatment groups or doses used for a given condition varied depending on the specific experiment. However, all experiments included at least one control group and one or more treatment groups. The number of treatment groups ranged from 2 to 5,",1,No,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,How many times was the experiment replicated? Provide the number of times.,Replicates,The manuscript does not provide information on the number of times the experiment was replicated.[next_chunk]The manuscript does not provide information on the number of times the experiment was replicated.[next_chunk]The excerpt does not provide information on the number of times the experiment was replicated.[next_chunk]NULL[next_chunk]The number of times the experiment was replicated is not provided in this excerpt.,6,No,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,How large was the sample size per replicate? Report the size.,Sample Size,"The sample size per replicate was not explicitly stated in the excerpt.[next_chunk]The sample size per replicate is not explicitly stated in the excerpt.[next_chunk]The manuscript does not provide information on the sample size per replicate.[next_chunk]NULL[next_chunk]Unfortunately, the provided excerpt does not contain information on the sample size per replicate. Please provide more context or information from the manuscript for me to accurately answer this question.",2,No,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,How frequent were doses administered to the test organisms?,Dosing Frequency,"The rainbow trout were exposed to polystyrene microplastics (PS MPs) via feed for a period of 4 weeks. Fish were fed four types of diets: control, diets containing virgin PS particles, or particles exposed to two different[next_chunk]The excerpt does not provide a clear answer to this question. It only mentions that a feeding experiment was conducted for a period of 28 days, and that two daily sampling events were performed during a period of 6 consecutive days.[next_chunk]The manuscript does not provide information on the frequency of doses administered to the test organisms.[next_chunk]NULL[next_chunk]The doses of microplastics were administered to the test organisms on a daily basis for a period of 21 days. The concentration of microplastics used in the study was determined based on previous literature and preliminary experiments to ensure that it was within",1,No,Seems like here it is getting confused by the question. 
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,What was the dose administered to the organism? Provide the dose.,Dose,"The dose administered to the rainbow trout was 10 mg of polystyrene microplastics per fish per day.[next_chunk]The excerpt does not provide a clear answer to this question. The study design and methods are described in detail, but the exact dose administered to the organisms (fish) is not explicitly stated. It is mentioned that the fish were exposed to micropl[next_chunk]The manuscript does not provide a specific dose administered to the organism.[next_chunk]NULL[next_chunk]The dose administered to the organism was 10 mg/L of microplastics in the exposure medium.",,No,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,What were the units of the dose given to the organism? Provide the units.,Dose Units,The dose given to the organism was estimated as 10 mg of polystyrene microplastics per fish per day. The units are mg/fish/day.[next_chunk]The manuscript does not provide information on the units of the dose given to the organism.[next_chunk]The manuscript does not provide information on the units of the dose given to the organism.[next_chunk]NULL[next_chunk]The units of the dose given to the organism were milligrams per kilogram of body weight (mg/kg).,,,Not in old. 
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,What chemicals were initially sorbed to the particles prior to exposures if any? Provide the chemical name or Not Reported.,Chemical Addition,The chemicals initially sorbed to the particles prior to exposures were not reported in the excerpt.[next_chunk]Not reported.[next_chunk]The manuscript does not provide the name of any chemicals that were initially sorbed to the particles prior to exposures.[next_chunk]NULL[next_chunk]Not Reported.,,,Not in old. 
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,"What is the environment focused on in the study? Acceptable answers are: Freshwater, Marine, Not reported.",Environment,"The study focuses on the impacts of microplastics on fish intestinal physiology in a freshwater environment.[next_chunk]Not reported.[next_chunk]The study does not focus on a specific environment, but rather investigates the potential toxicity of microplastics on the intestinal epithelium of rainbow trout.[next_chunk]NULL[next_chunk]Not reported.",Freshwater,Yes,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,"What is the life stage of the organism being studied? Acceptable answers are: Adult, Early, Juvenile  Not Reported.",Life.Stage,Juvenile rainbow trout were studied in this manuscript.[next_chunk]The life stage of the organism being studied is not reported in the excerpt.[next_chunk]The life stage of the organism being studied is not reported in the excerpt.[next_chunk]NULL[next_chunk]The life stage of the organism being studied was not reported in the manuscript.,Juvenile,Yes,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,"Is this an in vivo study or an in vitro study? Acceptable answers are: In Vivo, In Vitro, Not Reported.",In vitro/in vivo,In Vivo[next_chunk]In Vivo[next_chunk]In Vitro[next_chunk]NULL[next_chunk]The information provided in the excerpt is insufficient to determine whether the study is in vivo or in vitro.,In Vivo,Yes,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,"Is the organism being studied a male or female? Acceptable answers are: Male, Female, Not Reported.",Sex,The manuscript does not report the sex of the organism being studied.[next_chunk]The manuscript does not report the sex of the organism being studied.[next_chunk]Not reported.[next_chunk]NULL[next_chunk]This question is not relevant to the content of the manuscript and cannot be answered based on the given excerpt.,,Yes,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,What is the estimated body length of the organism being studied? Provide the length and units or answer Not Reported.,Estimated Body Length (cm),Not Reported.[next_chunk]Not Reported.[next_chunk]Not Reported.[next_chunk]NULL[next_chunk]Not Reported.,60,No,Upset that the information isn't in the manuscript. 
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,What is the maximum size of an object that could be ingested by the organism being studied? Provide length and units or answer Not Reported.,Estimated Maximum Ingestible Size (mm),The size of the object that could be ingested by the organism being studied is not reported in the excerpt.[next_chunk]Not Reported.[next_chunk]The maximum size of an object that could be ingested by the organism being studied is not reported in the excerpt.[next_chunk]NULL[next_chunk]Not Reported.,34.75130219,No,
10.1021/acs.est.8b04848,Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Ašmonaitė et al. - 2018 - Rainbow Trout Maintain Intestinal Transport and Ba.txt,"How are plastics introduced to the organism being studied? Acceptable answers are: Water, Food, Sediment, Dermal, Drinking Water, Food, Gavage, Inhalation, Intracheal Instillation, IV Injection, Not Reported.   ",Exposure Route,"The manuscript states that ingestion is the most prominent exposure route for plastic debris in aquatic organisms, including fish. In this study, rainbow trout were exposed to polystyrene microplastics (100-400 μm) via feed for a period[next_chunk]The manuscript reports on the effects of dietary exposure to microplastic particles (100-400 μm) on fish intestinal physiology. The microplastic particles were introduced to the fish through their food.[next_chunk]The manuscript reports on the effects of polystyrene microplastics (PS MPs) on the intestinal epithelium of rainbow trout. The PS MPs were introduced to the fish through dietary exposure, as they were added to the fish feed.[next_chunk]NULL[next_chunk]The plastics used in this study were introduced to the organism through ingestion of contaminated food. The microplastics were added to the food at a concentration of 10 particles per gram of food. The food was then fed to the organisms for a period",food,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,"What is the organism group focused on in the study? Acceptable answers are: Algae, Annelida, Bacteria, Cnidaria, Crustacea, Echinodermata, Fish, Insect, Mollusca, Nematoda, Plant, Rotifera, Not Reported.",Organism Group,"Fish (European seabass, Dicentrarchus labrax) are the organism group focused on in the study.[next_chunk]Fish.[next_chunk]NULL[next_chunk]Not reported.",Fish,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,Were organisms involved in this study only exposed to leachate derived from plastics and nonplastics? Acceptable answers are: Yes or No.,Leachate,"The manuscript does not provide information on whether the organisms involved in the study were exposed to leachate derived from plastics and nonplastics.[next_chunk]The manuscript does not provide a clear answer to this question. However, it is mentioned that the study investigated the effects of microplastics and mercury on the swimming performance of juvenile European seabass, and the fish were exposed to different treatments containing micro[next_chunk]NULL[next_chunk]Answer: Yes.",,,Not in old. 
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,Were organisms involved in this study exposed to a mixture of plastics simultaneously? Acceptable answers are: Yes or No.,Mix,"Yes.[next_chunk]Yes.[next_chunk]NULL[next_chunk]Yes, the organisms in this study were exposed to a mixture of plastics simultaneously.",,,Not in old. 
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,Was the study performed in the lab or in the field as a mesocosm experiment? Acceptable answers are Mesocosm or Lab.,Study Type,Lab.[next_chunk]Mesocosm experiment.[next_chunk]NULL[next_chunk]Lab.,,,Not in old. 
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,"Was a negative control, i.e. treatment without plastic particles or leachate used? Acceptable answers are Yes or No. ",Negative Control,"Yes. The control treatment consisted of water only.[next_chunk]The manuscript does not provide a clear answer to this question.[next_chunk]NULL[next_chunk]Yes, a negative control was used in this study.",Y,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,Was a particle besides plastic tested in one of the treatments (e.g. kaolin)? Acceptable answers are Yes or No.,Reference Particle,No.[next_chunk]The manuscript does not provide information on whether a particle besides plastic was tested in one of the treatments.[next_chunk]NULL[next_chunk]No.,N,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,What test media was used in the exposure? Provide the name of the media or state Not Reported.,Exposure Media,The test media used in the exposure was not reported in the excerpt.[next_chunk]Not reported.[next_chunk]NULL[next_chunk]Not Reported.,,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,What test solvent was used in the exposure? Provide the name of the solvent or state Not Reported.,Exposure Solvent,The test solvent used in the exposure was not reported in the excerpt.[next_chunk]Not reported.[next_chunk]NULL[next_chunk]Not Reported.,,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,What test detergent was used in the exposure? Provide the name of the detergent or state Not Reported.,Exposure Detergent,The manuscript does not report the use of any detergent in the exposure.[next_chunk]The name of the detergent used in the exposure was not reported in the excerpt.[next_chunk]NULL[next_chunk]Not Reported.,,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,What test ph of the media was used in the exposure? Provide the name of the ph or state Not Reported.,Exposure Media pH,"The pH of the media used in the exposure was not reported in the excerpt.[next_chunk]The manuscript does not report the pH of the media used in the exposure.[next_chunk]NULL[next_chunk]As per the manuscript, the test pH of the media used in the exposure was not reported.",8.2,No,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,What test salinity was used in the exposure? Provide the salinity or state Not Reported.,Exposure Media Salinity,The manuscript does not report the salinity used in the exposure.[next_chunk]The manuscript does not report the salinity used in the exposure.[next_chunk]NULL[next_chunk]Not Reported.,34,No,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,"What is the species focused on in the study? Acceptable answers are the scientific species name or """"Not reported"""".",Species,The species focused on in the study is the European seabass (Dicentrarchus labrax).[next_chunk]The species focused on in the study is the European seabass (Dicentrarchus labrax).[next_chunk]NULL[next_chunk]Not reported.,Dicentrarchus labrax,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,What test tempurature was used pu the exposure? Provide the tempurature or state Not Reported.,Exposure Media Tempurature,The test temperature used for the exposure was not reported in the excerpt.[next_chunk]The temperature used for the exposure in the study was not reported.[next_chunk]NULL[next_chunk]Not Reported.,18,No,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,What test duration was used at the exposure? Provide the duration or state Not Reported.,Exposure Duration,The duration of the exposure test was not reported in the excerpt.[next_chunk]The test duration used at the exposure was not reported in the excerpt.[next_chunk]NULL[next_chunk]Not Reported.,4,No,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,Was the exposure chronic or acute? Acceptable answers are Chronic or Acute.,Acute/Chronic,"The excerpt does not provide clear information on whether the exposure was chronic or acute.[next_chunk]The manuscript does not provide a clear answer to this question.[next_chunk]NULL[next_chunk]The exposure in our study was chronic, as the microplastic particles were continuously present in the aquatic environment for a period of 30 days.",Acute,No,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,How many treatment groups or doses were used for a given condition? Provide the number of groups.,Treatment Groups,"There were nine treatment groups used in the study: control (water only), two concentrations of microplastics alone (0.26 mg/L and 0.69 mg/L), two concentrations of mercury alone (0.010 mg/L and [next_chunk]The manuscript does not provide a clear answer to this question. However, it mentions that """"different treatments"""" were compared using one-way analysis of variance (ANOVA) and two-way ANOVA with interaction, and that post hoc comparisons using the[next_chunk]NULL[next_chunk]The number of treatment groups or doses used for a given condition varied depending on the specific experiment. However, all experiments included at least one control group and one or more treatment groups. The number of treatment groups ranged from 2 to 5,",,No,Poorly described in og data. 
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,How many times was the experiment replicated? Provide the number of times.,Replicates,The manuscript does not provide information on the number of times the experiment was replicated.[next_chunk]The manuscript does not provide information on the number of times the experiment was replicated.[next_chunk]NULL[next_chunk]The number of times the experiment was replicated is not provided in this excerpt.,9,No,Confusing replicates and treatment groups. 
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,How large was the sample size per replicate? Report the size.,Sample Size,"The sample size per replicate was 9 fish per treatment, for a total of 81 seabass juveniles in the bioassay.[next_chunk]The manuscript does not provide a clear answer to this question. However, it does state that """"mean and standard deviation of total length and body weight were 7.75 ± 0.293 cm and 8.82 ± 0.[next_chunk]NULL[next_chunk]Unfortunately, the provided excerpt does not contain information on the sample size per replicate. Please provide more context or information from the manuscript for me to accurately answer this question.",1,No,Not very good at math related problems. 
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,How frequent were doses administered to the test organisms?,Dosing Frequency,The manuscript does not provide information on the frequency of doses administered to the test organisms.[next_chunk]The manuscript does not provide information on the frequency of doses administered to the test organisms.[next_chunk]NULL[next_chunk]The doses of microplastics were administered to the test organisms on a daily basis for a period of 21 days. The concentration of microplastics used in the study was determined based on previous literature and preliminary experiments to ensure that it was within,1,No,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,What was the dose administered to the organism? Provide the dose.,Dose,"The manuscript does not provide a clear answer to this question. The study investigated the effects of microplastics and mercury on the swimming performance of juvenile European seabass, but the exact dose administered is not specified. The concentrations tested for microplastics[next_chunk]The excerpt does not provide information on the dose administered to the organism.[next_chunk]NULL[next_chunk]The dose administered to the organism was 10 mg/L of microplastics in the exposure medium.",,,Not in old. 
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,What were the units of the dose given to the organism? Provide the units.,Dose Units,The manuscript does not provide information on the units of the dose given to the organism.[next_chunk]The manuscript does not provide information on the units of the dose given to the organism.[next_chunk]NULL[next_chunk]The units of the dose given to the organism were milligrams per kilogram of body weight (mg/kg).,,,Not in old. 
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,What chemicals were initially sorbed to the particles prior to exposures if any? Provide the chemical name or Not Reported.,Chemical Addition,The manuscript does not report any chemicals that were initially sorbed to the particles prior to exposures.[next_chunk]The manuscript does not report any specific chemicals that were initially sorbed to the microplastic particles prior to exposures.[next_chunk]NULL[next_chunk]Not Reported.,,No,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,"What is the environment focused on in the study? Acceptable answers are: Freshwater, Marine, Not reported.",Environment,Marine.[next_chunk]Marine.[next_chunk]NULL[next_chunk]Not reported.,Marine,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,"What is the life stage of the organism being studied? Acceptable answers are: Adult, Early, Juvenile  Not Reported.",Life.Stage,The organism being studied is juvenile European seabass (Dicentrarchus labrax).[next_chunk]Juvenile European seabass.[next_chunk]NULL[next_chunk]The life stage of the organism being studied was not reported in the manuscript.,Juvenile,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,"Is this an in vivo study or an in vitro study? Acceptable answers are: In Vivo, In Vitro, Not Reported.",In vitro/in vivo,In Vivo[next_chunk]In Vivo[next_chunk]NULL[next_chunk]Not reported.,In Vivo,Yes,
10.1016/j.envpol.2017.12.082,Barboza et al. - 2018 - Single and combined effects of microplastics and m.pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Barboza et al. - 2018 - Single and combined effects of microplastics and m.txt,"Is the organism being studied a male or female? Acceptable answers are: Male, Female, Not Reported.",Sex,The manuscript does not report the sex of the organism being studied.[next_chunk]The manuscript does not report the sex of the organism being studied.[next_chunk]NULL[next_chunk]This question is not relevant to the content of the manuscript and cannot be answered based on the given excerpt.,,No,
